CustomerID,AccountType,Month,EnergyConsumption_kWh
RC1001,Residential,2024-05,373
RC1002,Residential,2024-05,415
RC1003,Commercial,2024-05,1129
RC1004,Residential,2024-05,258
RC1005,Residential,2024-05,321
RC1006,Residential,2024-05,410
RC1007,Residential,2024-05,370
RC1008,Commercial,2024-05,1765
RC1009,Residential,2024-05,297
RC1010,Residential,2024-05,252
RC1011,Residential,2024-05,340
RC1012,Commercial,2024-05,1480
RC1013,Residential,2024-05,295
RC1014,Residential,2024-05,335
RC1015,Residential,2024-05,388
RC1016,Commercial,2024-05,1120
RC1017,Residential,2024-05,362
RC1018,Residential,2024-05,406
RC1019,Residential,2024-05,281
RC1020,Commercial,2024-05,1542
RC1021,Residential,2024-05,278
RC1022,Residential,2024-05,383
RC1023,Residential,2024-05,408
RC1024,Commercial,2024-05,1650
RC1025,Residential,2024-05,277
RC1026,Residential,2024-05,345
RC1027,Residential,2024-05,325
RC1028,Commercial,2024-05,1243
RC1029,Residential,2024-05,350
RC1030,Residential,2024-05,368
RC1031,Residential,2024-05,312
RC1032,Commercial,2024-05,1315
RC1033,Residential,2024-05,314
RC1034,Residential,2024-05,404
RC1035,Residential,2024-05,273
RC1036,Commercial,2024-05,1398
RC1037,Residential,2024-05,265
RC1038,Residential,2024-05,324
RC1039,Residential,2024-05,297
RC1040,Commercial,2024-05,1207
RC1041,Residential,2024-05,289
RC1042,Residential,2024-05,375
RC1043,Residential,2024-05,401
RC1044,Commercial,2024-05,1624
RC1045,Residential,2024-05,338
RC1046,Residential,2024-05,307
RC1047,Residential,2024-05,330
RC1048,Commercial,2024-05,1620
RC1049,Residential,2024-05,359
RC1050,Residential,2024-05,292
RC1051,Residential,2024-05,328
RC1052,Commercial,2024-05,1223
RC1053,Residential,2024-05,299
RC1054,Residential,2024-05,377
RC1055,Residential,2024-05,300
RC1056,Commercial,2024-05,1379
RC1057,Residential,2024-05,360
RC1058,Residential,2024-05,349
RC1059,Residential,2024-05,386
RC1060,Commercial,2024-05,1182
RC1061,Residential,2024-05,289
RC1062,Residential,2024-05,365
RC1063,Residential,2024-05,340
RC1064,Commercial,2024-05,1566
RC1065,Residential,2024-05,303
RC1066,Residential,2024-05,326
RC1067,Residential,2024-05,390
RC1068,Commercial,2024-05,1675
RC1069,Residential,2024-05,375
RC1070,Residential,2024-05,358
RC1071,Residential,2024-05,312
RC1072,Commercial,2024-05,1150
RC1073,Residential,2024-05,280
RC1074,Residential,2024-05,369
RC1075,Residential,2024-05,399
RC1076,Commercial,2024-05,1237
RC1077,Residential,2024-05,341
RC1078,Residential,2024-05,357
RC1079,Residential,2024-05,302
RC1080,Commercial,2024-05,1505
RC1081,Residential,2024-05,333
RC1082,Residential,2024-05,324
RC1083,Residential,2024-05,401
RC1084,Commercial,2024-05,1158
RC1085,Residential,2024-05,276
RC1086,Residential,2024-05,372
RC1087,Residential,2024-05,409
RC1088,Commercial,2024-05,1759
RC1089,Residential,2024-05,311
RC1090,Residential,2024-05,331
RC1091,Residential,2024-05,370
RC1092,Commercial,2024-05,1198
RC1093,Residential,2024-05,284
RC1094,Residential,2024-05,300
RC1095,Residential,2024-05,355
RC1096,Commercial,2024-05,1474
RC1097,Residential,2024-05,335
RC1098,Residential,2024-05,266
RC1099,Residential,2024-05,314
RC1100,Commercial,2024-05,1578
